service_id,date,exception_type
305,20240702,1
305,20240703,1
305,20240704,1
305,20240705,1
303,20240706,1
304,20240707,1
305,20240708,1
305,20240709,1
305,20240710,1
305,20240711,1
305,20240712,1
303,20240713,1
304,20240714,1
305,20240715,1
305,20240716,1
305,20240717,1
305,20240718,1
305,20240719,1
303,20240720,1
304,20240721,1
305,20240722,1
305,20240723,1
305,20240724,1
305,20240725,1
305,20240726,1
303,20240727,1
304,20240728,1
305,20240729,1
305,20240730,1
305,20240731,1
306,20240801,1
306,20240802,1
303,20240803,1
304,20240804,1
306,20240805,1
306,20240806,1
306,20240807,1
306,20240808,1
306,20240809,1
303,20240810,1
304,20240811,1
306,20240812,1
306,20240813,1
306,20240814,1
304,20240815,1
306,20240816,1
303,20240817,1
304,20240818,1
306,20240819,1
306,20240820,1
306,20240821,1
306,20240822,1
306,20240823,1
303,20240824,1
304,20240825,1
306,20240826,1
306,20240827,1
306,20240828,1
306,20240829,1
306,20240830,1
303,20240831,1
304,20240901,1
307,20240902,1
307,20240903,1
307,20240904,1
307,20240905,1
307,20240906,1
303,20240907,1
304,20240908,1
